numero,Region,ELAsPorRegion
15,Región de Arica y Parinacota,181
1,Región de Tarapacá,236
2,Región de Antofagasta,387
3,Región de Atacama,232
4,Región de Coquimbo,504
5,Región de Valparaíso,1214
13,Región Metropolitana,5774
6,Región del Libertador Gral. Bernardo O’Higgins,540
7,Región del Maule,671
8,Región del Biobío,992
9,Región de Araucanía,549
14,Región de Los Ríos,272
10,Región de Los Lagos,528
11,Región Aisén del Gral. Carlos Ibáñez del Campo,167
12,Región de Magallanes y de la Antártica Chilena,213
16,Extranjero,194